"variable","mean","sd","lo95","hi95","rhat","ess_bulk"
"beta_nu[1]",3.63665413795,0.0260005625294636,3.5857489275,3.68763905,1.00013397744676,11886.2250504926
"beta_nu[2]",2.82674385246667,0.054445543008494,2.720145745,2.9352578525,1.00047573398028,2485.62781471841
"beta_nu[3]",-0.00231906775999004,0.0459729445087548,-0.09482379975,0.0873800012999999,1.00034511958994,2647.08817112764
"beta_nu[4]",0.256075692526667,0.0273935876248135,0.203517387,0.3099914265,1.00123313792628,9345.31929800857
"beta_alpha1",0.280107836935,0.0110934358992712,0.2582381455,0.30196282225,0.999920658749835,1945.1435113582
"beta_alpha2",-0.0577740558015,0.0042957521159484,-0.066078598425,-0.0492991659,0.999854627027537,12711.4118673345
"beta_alpha3",0.294627705028333,0.00312133580200792,0.2885486245,0.30074775125,0.999803024629302,8965.27097007669
"beta_tau",1.83962193278333,0.0303732903928851,1.778829765,1.8977060875,0.99992009869337,5067.20023925976
"sigma_nu_c",0.726856387016667,0.0396580299387497,0.6530786225,0.80784397025,1.00060222691359,3439.8807800916
"sigma_nu_r",0.591677640853333,0.0321975261865709,0.532521925,0.6575205625,1.00023989564353,2946.1210681997
"sigma_nu_cr",0.243055219766667,0.0263835204063573,0.19205767075,0.29486876775,1.00010162328644,3299.89253774119
"sigma_alpha_intercept",0.148090772721667,0.00777182471621409,0.13381252625,0.16431434775,1.00030679825559,2683.77212465416
"sigma_tau_intercept",0.373902048046667,0.0236752100621318,0.3293729575,0.42291557075,1.00031874845494,3985.69283944379
"sv",0.0264478803115275,0.0197499499651346,0.0010660806125,0.0738889302999999,1.00023720323286,4098.88666849313
