"variable","mean","sd","lo95","hi95","rhat","ess_bulk"
"beta_nu[1]",5.86849979666667,0.246133294380493,5.4239131175,6.4041620425,1.00002360486263,249.501749525715
"beta_nu[2]",2.72242909166667,0.206086409405938,2.351666655,3.153126965,1.01396350946717,189.675894164283
"beta_nu[3]",0.167809609964167,0.166723942094937,-0.124720037,0.477176326249999,0.998674138257768,175.891852125578
"beta_nu[4]",0.575199102416667,0.10872587197022,0.379067436,0.84475156325,1.00914332684855,121.660838375948
"beta_alpha1",0.089200342517925,0.0352950917515198,0.01608539445,0.1527703165,1.00267075518912,125.217206210264
"beta_alpha2",-0.0594216641658333,0.0154821810048441,-0.087111365125,-0.02774104845,1.00842306304699,149.765578109958
"beta_alpha3",-0.046059298825,0.010372060656614,-0.06499720125,-0.0267888443,1.02010399452479,116.783797698061
"beta_tau",1.42207856416667,0.0546700015846166,1.3255045075,1.5202853175,1.01068416631622,134.830419721909
"sigma_nu_c",1.06287567375,0.145764971827861,0.8497063495,1.35643142,1.00711896087927,105.390154549052
"sigma_nu_r",0.90089268175,0.116874512720403,0.71996590025,1.1353126125,1.0284270693001,61.1221543677767
"sigma_nu_cr",0.340041385491667,0.1319913058139,0.0893738196,0.57768162625,0.999310508679929,56.6732084976369
"sigma_alpha_intercept",0.1755377155,0.021704044719233,0.14184251575,0.22124237575,1.01676445032712,54.5047290196513
"sigma_tau_intercept",0.184734448958333,0.0490320230540408,0.08186254415,0.26327484,1.01938673331427,67.3517046338878
"w",0.224517966416667,0.00943132670391238,0.20679863425,0.242357689,0.993777001356817,160.773455748776
"sv",1.56925554083333,0.215284151960904,1.1715255225,2.0618924925,1.00156896499214,230.755842878458
"st0_raw",0.242326796916667,0.0112997443628357,0.222605111,0.26276757325,1.0083355987275,139.0251364051
