"variable","mean","sd","lo95","hi95","rhat","ess_bulk"
"beta_nu[1]",3.636500996,0.0258712243066409,3.5854332825,3.687269155,1.0004696440173,10134.8201512601
"beta_nu[2]",2.82643476956667,0.0551120065911476,2.7181371275,2.935093455,1.00069893957031,2388.60957783013
"beta_nu[3]",-0.00252756690543333,0.046388889345491,-0.09227264585,0.086982954175,0.999964485954448,2419.74296646429
"beta_nu[4]",0.256383598616667,0.0278163127783769,0.201066736,0.310892421,1.00019148505575,9553.4457063638
"beta_alpha1",0.279934178608333,0.0109490437940614,0.25867483475,0.3019078545,1.00125190732524,2108.3832187176
"beta_alpha2",-0.0578099842818333,0.00419723155727978,-0.0658889576,-0.049639692,1.00018057612209,10453.9894261021
"beta_alpha3",0.29452476279,0.00307265496800054,0.2885753355,0.30061429575,1.0000271940248,11054.4818140036
"beta_tau",1.83934932063333,0.0293699499254947,1.7818110625,1.8968097725,1.00058028889944,5216.25948949143
"sigma_nu_c",0.726204780833333,0.0401599234155191,0.6519783485,0.807621491,0.999978779725486,3344.02357618891
"sigma_nu_r",0.591978613008333,0.0320470202538251,0.53238241325,0.65867698725,1.00016777390161,2647.7777329439
"sigma_nu_cr",0.242762436281667,0.0258737391346173,0.1930158235,0.2939007815,0.99997112826924,2828.25231445637
"sigma_alpha_intercept",0.14841370231,0.00786937420928819,0.1338697305,0.164597044,1.00009875671778,2750.96402722669
"sigma_tau_intercept",0.374569951346667,0.023585547306961,0.330711694,0.42217754375,1.00019492074441,3522.51198325902
