"participant","cell","cell_label","nu_mean","nu_lo95","nu_hi95","alpha_mean","alpha_lo95","alpha_hi95"
1,1,"cong/post-corr",5.57779511445698,5.03170365625,6.1291847815,1.82444196315542,1.68407493897364,1.97850164498188
2,1,"cong/post-corr",8.455996084191,7.79611049125,9.1028436485,1.54371214527438,1.41911711273477,1.68068130662912
3,1,"cong/post-corr",6.41599874191304,5.890104487875,6.95140383575,1.62697726137508,1.50725722182864,1.75608339675579
4,1,"cong/post-corr",7.06748100971075,6.291266981,7.84222015,1.26548019425045,1.14222172179837,1.39968370967463
5,1,"cong/post-corr",6.37570401119629,5.85402688545,6.909390887925,2.03341194911495,1.88921020195677,2.18698742227234
6,1,"cong/post-corr",7.80727175867443,7.1414488888,8.497821434,1.60493646406804,1.47513481284399,1.74457162944607
7,1,"cong/post-corr",6.02879409794467,5.52918472565,6.528949934775,2.47226498205902,2.2639223919175,2.6924804074937
8,1,"cong/post-corr",5.89714610114612,5.306609599025,6.5013017205,1.59001064926661,1.43758803922945,1.75634497809433
9,1,"cong/post-corr",6.89296061232964,6.3294082121,7.44445351525,1.6027460479349,1.47932764176514,1.73341372178318
10,1,"cong/post-corr",6.91027673822662,6.34731966,7.47455126575,1.83644089122571,1.69562444073271,1.99033918298764
11,1,"cong/post-corr",7.92725468864177,7.271181683,8.579389992,1.52030551094866,1.40753664134571,1.64184759963071
12,1,"cong/post-corr",6.69933957726779,6.13287223525,7.27336076625,1.86377247509947,1.7176808204333,2.01501659859263
13,1,"cong/post-corr",7.15255817218256,6.575596495775,7.748405071,1.99808305056294,1.81710907000273,2.20606797287552
14,1,"cong/post-corr",5.06276093478964,4.59749686825,5.539760597,1.80039883771958,1.6427305286753,1.97892711336405
15,1,"cong/post-corr",6.81107226769955,6.1332344265,7.489075813,1.27201513562407,1.16877718506671,1.38441511450984
16,1,"cong/post-corr",6.52977267391103,5.989847045525,7.09785359953,2.00909834367398,1.83609840129468,2.1964645328891
17,1,"cong/post-corr",6.07527732154733,5.560184478,6.613701248,2.11912456181935,1.96034987496707,2.29484621292276
18,1,"cong/post-corr",6.33509748543429,5.662889003725,7.024078977,1.43179983644857,1.30551967170078,1.57307676436033
19,1,"cong/post-corr",7.09822678990655,6.532483652375,7.65029987825,1.85560271876723,1.71724773780506,2.00690384826775
20,1,"cong/post-corr",6.74429851954006,6.17221599705,7.32509987205,1.57840392138019,1.45610436079731,1.71219543210858
21,1,"cong/post-corr",5.95665731694484,5.3879590575,6.5460210145,1.74038648844075,1.59239749233547,1.90660969692961
22,1,"cong/post-corr",6.00926106156748,5.48128935745,6.52867416025,1.72480185679157,1.57054283682453,1.8948750096193
23,1,"cong/post-corr",7.06581829020855,6.48809465825,7.6486337505,1.57235046429783,1.44547037759085,1.71071877935435
24,1,"cong/post-corr",8.62972450458685,7.93099254075,9.3211810265,1.87647771867023,1.7243420203192,2.03199422845172
25,1,"cong/post-corr",4.23468407478503,3.82614288275,4.634083781975,1.8311002697392,1.70184777975718,1.96950427925058
26,1,"cong/post-corr",6.45152738222997,5.912237667225,7.00366613267,1.69087790402647,1.55872162254436,1.83602703776597
27,1,"cong/post-corr",8.21024786740218,7.47580643625,8.93570718925,1.37243478692865,1.242762706293,1.51746050320625
