"participant","cell","cell_label","nu_mean","nu_lo95","nu_hi95","alpha_mean","alpha_lo95","alpha_hi95"
1,1,"cong/post-corr",5.57675761744281,5.066028110875,6.10330846795,1.82477792688331,1.68399791327204,1.98086981166822
2,1,"cong/post-corr",8.46295138468896,7.806993030225,9.1378857465,1.54461635936139,1.41851702751066,1.6872565864803
3,1,"cong/post-corr",6.42336649397495,5.889745162575,6.96707368825,1.62844604751332,1.50419717827469,1.76068754856634
4,1,"cong/post-corr",7.06652003059601,6.3272457975,7.80827484825,1.26669378470044,1.14454988256869,1.40144615625477
5,1,"cong/post-corr",6.37025353752342,5.8396403625,6.91243959155,2.03349757112378,1.88474076938931,2.18661852306287
6,1,"cong/post-corr",7.80536005389071,7.130654202875,8.47366680575,1.60472627327495,1.47069021568673,1.74735832360615
7,1,"cong/post-corr",6.02666950023583,5.5272074253,6.5211454903775,2.47048035107925,2.26265838792998,2.68802035436646
8,1,"cong/post-corr",5.89881544605076,5.31442284925,6.46583682575,1.58976558320215,1.44682352614285,1.74370505393387
9,1,"cong/post-corr",6.89277331209938,6.32540352325,7.47113250025,1.60213950918575,1.47684639757966,1.73150163722407
10,1,"cong/post-corr",6.910555750091,6.3329424288475,7.48757443975,1.83817535746277,1.69582934743575,1.99236891055434
11,1,"cong/post-corr",7.92026429526381,7.25731421125,8.588014869,1.52050323881387,1.41154121576539,1.63629239282155
12,1,"cong/post-corr",6.68875905020718,6.1036403,7.28011752285,1.86383347383814,1.72174334171701,2.01199119204978
13,1,"cong/post-corr",7.1503595762191,6.572877493,7.749024841,1.99647121242064,1.81119121411001,2.20452489985915
14,1,"cong/post-corr",5.06515330411808,4.5939370625,5.54457628475,1.79977525910365,1.64015977693654,1.97591517743812
15,1,"cong/post-corr",6.81135496459711,6.12521697135,7.50114305275,1.27361324299441,1.16911035003253,1.38277613138445
16,1,"cong/post-corr",6.53378840202114,5.9978531179925,7.0640447455,2.0080796160958,1.83787810114595,2.18597038541548
17,1,"cong/post-corr",6.0750072405193,5.55431929075,6.617790495,2.11816147982767,1.95036731472333,2.29719919479148
18,1,"cong/post-corr",6.33880096135988,5.6764459468,7.03626375735,1.43287858736007,1.30463078912913,1.57303294249103
19,1,"cong/post-corr",7.09679703468321,6.504760697675,7.689125757425,1.85547511413066,1.71143055233969,2.00984715564373
20,1,"cong/post-corr",6.74542288244853,6.16217114025,7.31687339225,1.57868638398693,1.45519079201456,1.71272717948102
21,1,"cong/post-corr",5.95403835353659,5.36829413975,6.54694616425,1.73964554018724,1.58676340794423,1.90723373919942
22,1,"cong/post-corr",6.00535751400561,5.487829406125,6.52606254,1.72325555815893,1.57389640038515,1.89204826606204
23,1,"cong/post-corr",7.07320759296037,6.46620656925,7.65700572925,1.57341757997518,1.44563176391358,1.7080743630651
24,1,"cong/post-corr",8.63022059482617,7.96566753645,9.297380832375,1.87683407168546,1.72927276127764,2.03105918788421
25,1,"cong/post-corr",4.23154856526829,3.816861310625,4.64148456925,1.82884413201267,1.69574851791622,1.96784910305167
26,1,"cong/post-corr",6.45666892713053,5.92632762075,6.99187808025,1.69160853498772,1.56004383986924,1.83532014796754
27,1,"cong/post-corr",8.21086702102121,7.4954822949425,8.942442298,1.37187990264605,1.24368492140992,1.51282778208322
28,1,"cong/post-corr",7.01075783858446,6.409869857425,7.6275937886,1.85197451602455,1.71062878911394,2.00445687373422
29,1,"cong/post-corr",6.30013284346885,5.71162455525,6.896482453655,1.77092487319457,1.63251804651771,1.92543702564251
30,1,"cong/post-corr",6.49865448510272,5.930996180675,7.07175538145,1.62363866015332,1.49429758722234,1.76346095758335
31,1,"cong/post-corr",6.2468055666963,5.60328339075,6.90046174725,1.49161234538932,1.35469474579019,1.64071286131339
32,1,"cong/post-corr",7.42758205595494,6.713748944,8.141271648,1.28971054814561,1.17688817595073,1.41634997595816
33,1,"cong/post-corr",6.84230489609886,6.24823651575,7.4080196252,1.58376778400642,1.45464452785269,1.7230793840565
34,1,"cong/post-corr",4.69743155120053,4.178267508,5.214648937975,1.4269024880387,1.31107641638072,1.55312023385387
35,1,"cong/post-corr",7.1938963672703,6.55690179,7.83405784495,1.48713397423219,1.35435341535695,1.63348695148869
