"variable","mean","sd","lo95","hi95","rhat","ess_bulk"
"beta_nu[1]",4.82849700795,0.0312380223942338,4.7684058375,4.8902033225,1.00175808193761,7333.66688199862
"beta_nu[2]",2.334936985,0.053631154059431,2.22914399,2.4430939875,1.00032442682707,1621.89119280925
"beta_nu[3]",0.00502540958786675,0.047771848576695,-0.08800475685,0.09823602955,1.00246512458511,1845.97998881645
"beta_nu[4]",0.299000550455,0.026923835741422,0.2461188085,0.350798711,1.00091657304538,4929.25338978981
"beta_alpha1",0.2382765849275,0.0112458946063191,0.21638590125,0.26022586,1.00327578496618,1116.32497006221
"beta_alpha2",-0.049835039992,0.00414816803877124,-0.0579587722,-0.0419332077,1.00121037978361,7783.79604071844
"beta_alpha3",0.05036793910575,0.00329781312024966,0.044184600825,0.0570459881,0.99993366419374,7396.75771984484
"beta_tau",1.79632673085,0.0379223348870417,1.7215609575,1.86975236,1.00113363234935,1911.09415982469
"sigma_nu_c",0.714459664775,0.0386952136840462,0.642943382,0.79319422425,0.999892945792287,1794.16583878243
"sigma_nu_r",0.5821813700825,0.03226453178205,0.523406729,0.6491564675,1.0010483601582,1649.9848887093
"sigma_nu_cr",0.2566851161125,0.0253410088647256,0.207002463,0.30696170875,1.00024759980045,2041.33831197308
"sigma_alpha_intercept",0.1536404059475,0.00813754982301217,0.13845895225,0.170299057,1.00042147969551,1448.98033027104
"sigma_tau_intercept",0.4975493046175,0.0302863741827271,0.4405661875,0.559918188,1.00071850730648,2268.56923022258
"w",0.258379373035,0.00199073962554153,0.25444645275,0.26219386025,0.999867301589832,7707.77427374942
"sv",0.045331684600512,0.0340826188575199,0.00155228889,0.126861264,0.999748597698948,3544.5733306556
