"participant","cell","cell_label","nu_mean","nu_lo95","nu_hi95","alpha_mean","alpha_lo95","alpha_hi95"
1,1,"cong/post-corr",6.84361463370328,6.261978984,7.39346018785,1.42168760633036,1.32053277336201,1.5272957341643
2,1,"cong/post-corr",8.96719004078861,8.33868021,9.62391714575,1.11247217445858,1.02179553235502,1.20874962726171
3,1,"cong/post-corr",7.22789357210246,6.689778163,7.7691846255,1.25272368358762,1.16486100953081,1.351382482965
4,1,"cong/post-corr",8.20213999902587,7.46695799525,8.942442596875,1.02090476528091,0.925822851312678,1.1274478510908
5,1,"cong/post-corr",7.19142905610549,6.6782059025,7.71950847665,1.50852386740015,1.40999693074799,1.61490176358493
6,1,"cong/post-corr",8.49903306380495,7.844465134,9.15157483875,1.18502040839427,1.0915671902544,1.28317481932255
7,1,"cong/post-corr",6.31716864033728,5.8603423445,6.77506719295,1.77079124205802,1.6378657121872,1.91331703354879
8,1,"cong/post-corr",7.26092308023982,6.65018283675,7.85702168225,1.35558535229883,1.22899385956442,1.49319389867786
9,1,"cong/post-corr",7.5834080513994,7.017061638875,8.140013024,1.20767831395633,1.11930981301201,1.30198849887421
10,1,"cong/post-corr",7.59826942127568,7.05103232525,8.16166368775,1.36585980377352,1.27181391254527,1.46833630066356
11,1,"cong/post-corr",8.78291782522972,8.12500197225,9.4344617825,1.08896060265846,1.01891143932607,1.16603289003194
12,1,"cong/post-corr",7.5606989795493,7.00268272525,8.12620717475,1.4366451807566,1.33817738356071,1.54003465585955
13,1,"cong/post-corr",7.65196193588695,7.067049840725,8.2265836185,1.4658240231389,1.33599568394253,1.61282260389071
14,1,"cong/post-corr",5.8050975624761,5.322278967,6.27904271495,1.45966274677055,1.33489050427362,1.59896810975378
15,1,"cong/post-corr",7.78510237471749,7.10481578275,8.4702181245,0.983283804716186,0.90966020180088,1.06537555972325
16,1,"cong/post-corr",7.1281883466973,6.611593001975,7.670487172925,1.52494824105791,1.39608494446477,1.66273876465865
17,1,"cong/post-corr",7.09826732380065,6.5607580176,7.64914026675,1.56872669442591,1.46659068195149,1.67497458918592
18,1,"cong/post-corr",7.39502068626709,6.712363272425,8.08955042825,1.14296697621276,1.04269487304611,1.24934017688306
19,1,"cong/post-corr",7.75607331578343,7.2067433694,8.3046296287225,1.32740701262891,1.23671090528452,1.42499518997638
20,1,"cong/post-corr",7.44912192758551,6.869843926125,8.0193830783725,1.18620202171029,1.09825237669467,1.28215236203233
21,1,"cong/post-corr",6.91493036212588,6.35380588425,7.49505152975,1.35644069524863,1.24162721837817,1.4851491490259
22,1,"cong/post-corr",6.68384741758649,6.18937341,7.1919380235,1.35478781081492,1.24096007598026,1.48198289834134
23,1,"cong/post-corr",7.67867861939279,7.139827374625,8.227210426,1.17283376032821,1.07891221451098,1.26887459114593
24,1,"cong/post-corr",9.06119421130107,8.39445382425,9.72821844025,1.32422933569288,1.22794670138422,1.42624261021106
25,1,"cong/post-corr",5.46542334407749,5.04512557375,5.8973726615,1.54217770675368,1.43356058567781,1.65640754091297
26,1,"cong/post-corr",6.96557135681072,6.4478891045,7.51282440425,1.24716411868514,1.15563572550799,1.34589919080347
27,1,"cong/post-corr",9.05803656580455,8.353557714,9.7722071075,1.03450131685581,0.944149227674501,1.13190426428807
28,1,"cong/post-corr",8.16458991188642,7.5413852552,8.82922897225,1.34586695557616,1.25434592973476,1.44233184520394
29,1,"cong/post-corr",6.98423413657668,6.4017738802,7.5794006903425,1.36470519858665,1.25842831820054,1.47739167033692
30,1,"cong/post-corr",7.12935827173073,6.556155731875,7.69646412825,1.16898823741521,1.08757822485659,1.25581083127088
31,1,"cong/post-corr",7.47282545959962,6.81074720235,8.13850447475,1.26486479339829,1.14605615174736,1.39322041936338
32,1,"cong/post-corr",8.09429442512922,7.4275282625,8.775327905,0.952056835421755,0.871511026791846,1.04289601124709
33,1,"cong/post-corr",7.65371444062062,7.09892856825,8.240423775075,1.19604856956604,1.10072455427374,1.30071623432667
34,1,"cong/post-corr",5.78749176644108,5.255567406675,6.317942538635,1.24461481518984,1.13683163451442,1.35983223828207
35,1,"cong/post-corr",7.88044565542542,7.277384254,8.4954847231,1.10871006286907,1.01812272659808,1.2051589762391
36,1,"cong/post-corr",7.60096799177444,7.062607799275,8.14709416075,1.38314734606442,1.27898459758048,1.49259214792147
37,1,"cong/post-corr",6.6623316418853,6.13968384725,7.19109994775,1.49958816035728,1.38474367059011,1.62442064156898
38,1,"cong/post-corr",8.27514579467702,7.646794963,8.90662864925,1.01131625293826,0.927796824233332,1.10214978726314
39,1,"cong/post-corr",7.6810277774524,7.12352214238,8.2383062415,1.32347377700772,1.22933419549913,1.42270153490511
40,1,"cong/post-corr",8.65675211684398,8.06669627475,9.280186111,1.34649257870765,1.23725495087463,1.46159760147055
