"variable","mean","sd","lo95","hi95","rhat","ess_bulk"
"beta_nu[1]",4.60853812166667,0.103814879020791,4.4432294825,4.860714325,0.997359082587461,118.853470148528
"beta_nu[2]",2.09745725,0.116618550029481,1.87849161,2.314501005,1.00004050018289,201.627514413113
"beta_nu[3]",0.0892679451541667,0.115234219420126,-0.12925397425,0.38275249175,0.992484421626815,148.855961308555
"beta_nu[4]",0.394683860583333,0.0613249941955581,0.29784017925,0.520472486,1.00354532107137,94.711630614217
"beta_alpha1",0.134876741925,0.0251087804277073,0.092531942975,0.183153331,0.993191262448176,138.687537466321
"beta_alpha2",-0.0492468318416667,0.0119493565492008,-0.0723854959,-0.02476181855,1.00219764752171,105.308432403047
"beta_alpha3",-0.00548367801175,0.0100654572579387,-0.0244371915,0.010746136075,1.01681427880356,105.64501002578
"beta_tau",1.8037610525,0.0604951647004253,1.6984336925,1.91076326,1.00419229086295,124.489551309164
"sigma_nu_c",0.858411478083333,0.124250963487292,0.66681225,1.1347174225,1.02211789676775,50.2241412012864
"sigma_nu_r",0.667253152333333,0.0811844660684418,0.49801326525,0.8295300195,1.00940997810055,89.3997477363817
"sigma_nu_cr",0.195623001250833,0.112944837086728,0.0046363585725,0.40313243575,1.07413254867226,35.4106476599564
"sigma_alpha_intercept",0.137770908866667,0.0176167776124345,0.1067409245,0.17075205,0.990931469158513,118.187833968905
"sigma_tau_intercept",0.324743841166667,0.0608474979677126,0.2100644905,0.43202859575,1.00879828241695,79.2605237519833
"w",0.270058064916667,0.00623293035400341,0.25846174625,0.28304404825,1.01759850093701,166.575072378174
"sv",0.195279291317833,0.157084223519575,0.00047561370275,0.519894169499999,1.01522805001606,64.2368482451731
"sw",0.05262195712775,0.0388806163372071,0.00417685705,0.15141043225,0.99438435126918,136.811259041617
