"participant","cell","cell_label","nu_mean","nu_lo95","nu_hi95","alpha_mean","alpha_lo95","alpha_hi95"
1,1,"cong/post-corr",8.82613199501667,7.5463573415,10.2651615575,1.02193813732163,0.892382962295147,1.19717963515295
2,1,"cong/post-corr",6.953390563825,5.9056337275,7.9711366855,1.19555148118088,1.05664528539413,1.35147590982213
3,1,"cong/post-corr",7.379299306685,6.364532229,8.28043155195,0.952436971253126,0.842897789639352,1.09017926186858
4,1,"cong/post-corr",6.56603323510666,5.5807284075,7.70995077725,1.32268071710471,1.17566129526256,1.45819641419317
5,1,"cong/post-corr",8.20282565246167,7.0517603965,9.3087608795,1.03093811981577,0.931914176352935,1.16660943029835
6,1,"cong/post-corr",7.816804332706,6.8817175517,8.6005629965,1.05667942266073,0.954442944908402,1.19406747669204
7,1,"cong/post-corr",7.550367003185,6.7513771157,8.44460972725,1.06608035621604,0.942916618052088,1.22773257340951
8,1,"cong/post-corr",7.77231715856666,6.75505163425,8.7822577035,1.17382560472085,1.041221426637,1.31108772580698
9,1,"cong/post-corr",8.22465906050417,7.2798991235,9.27635796225,0.997876461539951,0.87548517120909,1.14333402572371
10,1,"cong/post-corr",7.0225156723125,6.11630584175,7.834848706775,1.10167157072449,0.973858278309201,1.21957341955842
11,1,"cong/post-corr",6.5923747763675,5.6958954525,7.360293656,1.28148395179252,1.12429594955589,1.45879417191237
12,1,"cong/post-corr",7.43203906172833,6.66717530145,8.169567386,1.17974458542092,1.04718507424747,1.34131225825411
13,1,"cong/post-corr",7.31961321015583,6.579172748125,8.10254941775,1.04549541881356,0.945757978278961,1.15041343759298
14,1,"cong/post-corr",6.97081979588,5.959099821,7.77602017675,1.23885654418451,1.12584343268712,1.36178668026469
15,1,"cong/post-corr",6.76139151823667,5.961686356375,7.447969837,1.13553575167108,0.989858989173147,1.25874763492452
16,1,"cong/post-corr",9.75611483116666,8.606629738,11.02656498025,0.806017297019014,0.692328603275805,0.931975554021792
17,1,"cong/post-corr",7.90132507477916,6.929643022,8.73041604725,0.986224459667444,0.876024330837117,1.12400167455891
18,1,"cong/post-corr",8.20821850962167,6.90669709394,9.31393595,0.992423114444388,0.867949538395802,1.11618003392395
19,1,"cong/post-corr",6.75849170775833,5.87029272825,7.5394984348,1.08860199868426,0.983603546506955,1.2236389221754
20,1,"cong/post-corr",8.53523464826392,7.4306320405,9.840912114,0.945799470173393,0.833983501431648,1.07343040561366
21,1,"cong/post-corr",5.78210184402225,5.07441322625,6.541138342375,1.12813265585303,1.01206820102349,1.25066331487194
22,1,"cong/post-corr",7.07111922561667,6.02734749175,8.11691087975,1.02785433334638,0.924241305323782,1.14388171110567
23,1,"cong/post-corr",7.12833445144417,6.280651902675,8.0878760665,1.24882640407746,1.08679107256364,1.39627752671748
24,1,"cong/post-corr",6.44428181866667,5.37994515125,7.309667050525,1.08916509519307,0.972177307294603,1.23467108215633
25,1,"cong/post-corr",7.52411221096583,6.49258351525,8.59006872125,1.10442018197215,0.977008919410685,1.24536449727677
26,1,"cong/post-corr",7.5688945118375,6.653576103875,8.42338887875,0.96684981484521,0.868080719891092,1.10442774193157
27,1,"cong/post-corr",4.22530299810458,3.576331617,4.90713576085,1.3143400831778,1.15877564635924,1.49019717148257
28,1,"cong/post-corr",8.528926824875,7.58929875675,9.49259216325,0.934274745522862,0.814182360211222,1.06120301191406
29,1,"cong/post-corr",8.018074101625,6.831076091525,9.09794546625,0.989372244612402,0.872627716179277,1.14174349063716
