"variable","mean","sd","lo95","hi95","rhat","ess_bulk"
"beta_nu[1]",4.59776859916667,0.0941762169506169,4.44009941,4.7536959825,0.992063262069705,120.993758717395
"beta_nu[2]",2.08616809,0.14665862196906,1.84132046,2.3605147525,1.02351133352821,165.221048232513
"beta_nu[3]",0.0856977112946833,0.109539037173576,-0.12999611525,0.28406421825,0.987545501851752,204.175802017048
"beta_nu[4]",0.398503089083333,0.0783447069268839,0.23438190025,0.52954908775,0.993092728813621,166.818454179344
"beta_alpha1",0.134186182533333,0.0229523244149174,0.0912769614,0.17515019225,1.05942904238924,147.227555596355
"beta_alpha2",-0.0492524802,0.0122150272138656,-0.070234324675,-0.028157092125,1.00025135507958,88.9933210496366
"beta_alpha3",-0.00523307858058333,0.0100596480334709,-0.022316821825,0.013300480325,0.99630642424787,136.429930403835
"beta_tau",1.81238638083333,0.0624557646113978,1.696507215,1.94280041,0.998894265879313,197.909661762845
"sigma_nu_c",0.846351358083333,0.109641864560129,0.67540927525,1.10863348,0.99562596444762,60.5373311308947
"sigma_nu_r",0.676919894666667,0.0765839736731243,0.534636124,0.81920949525,1.02865632372269,87.284761816492
"sigma_nu_cr",0.26499070269,0.106048295681788,0.025823591475,0.46153335375,1.09741727666835,20.9032224877342
"sigma_alpha_intercept",0.135643679958333,0.0171881869603111,0.107989071,0.1647428375,1.01789658703672,57.1330660229845
"sigma_tau_intercept",0.321591667083333,0.0561479247418865,0.21425704075,0.4468926505,1.13462423989068,14.1546005798113
"w",0.270049712333333,0.00611132769612268,0.25859895475,0.28301155075,1.04107005783786,124.759733745548
"sw",0.0550635392643333,0.0321843038012258,0.0036696203475,0.12135104375,1.07325692489908,103.228272800614
