"subj","trial","condition","resp_type","a","v","rt","acc"
1,2,-1,1,1.71514539105153,1.53419332112575,1.10971620009813,1
1,3,-1,1,1.71514539105153,1.53419332112575,1.46214440125917,1
1,4,1,1,1.89552880646163,3.79556656755786,0.422916739379944,1
1,5,1,1,1.89552880646163,3.79556656755786,0.408108158512604,1
1,6,-1,1,1.71514539105153,1.53419332112575,0.50336632251313,1
1,7,1,1,1.89552880646163,3.79556656755786,0.564486130612534,1
1,8,1,1,1.89552880646163,3.79556656755786,0.403324365887027,1
1,9,1,1,1.89552880646163,3.79556656755786,0.897598611978809,1
1,10,1,1,1.89552880646163,3.79556656755786,0.518113768559603,1
1,11,1,1,1.89552880646163,3.79556656755786,0.439418616379156,1
1,12,1,1,1.89552880646163,3.79556656755786,0.604425502281833,1
1,13,1,1,1.89552880646163,3.79556656755786,0.468155447850283,1
1,14,-1,1,1.71514539105153,1.53419332112575,0.408692423802925,1
1,15,-1,1,1.71514539105153,1.53419332112575,0.470824319492957,1
1,16,-1,1,1.71514539105153,1.53419332112575,0.471671231430854,1
1,17,1,1,1.89552880646163,3.79556656755786,0.519174508422056,1
1,18,-1,1,1.71514539105153,1.53419332112575,0.992909591555573,1
1,19,1,1,1.89552880646163,3.79556656755786,0.581985003104486,1
1,20,-1,1,1.71514539105153,1.53419332112575,1.53186570773197,1
1,21,-1,1,1.71514539105153,1.53419332112575,0.578281296862562,-1
1,22,1,-1,1.80669254981728,1.72502250536066,0.649925344288701,1
1,23,1,1,1.89552880646163,3.79556656755786,0.415382396224905,1
1,24,1,1,1.89552880646163,3.79556656755786,0.446655674221184,1
1,25,1,1,1.89552880646163,3.79556656755786,0.391437281876441,1
1,26,1,1,1.89552880646163,3.79556656755786,0.618499883786948,1
1,27,1,1,1.89552880646163,3.79556656755786,0.5637329957752,1
1,28,-1,1,1.71514539105153,1.53419332112575,0.514650891228077,1
1,29,-1,1,1.71514539105153,1.53419332112575,0.735063524779238,1
1,30,1,1,1.89552880646163,3.79556656755786,0.424688616588609,1
1,31,1,1,1.89552880646163,3.79556656755786,0.438715937643721,1
1,32,-1,1,1.71514539105153,1.53419332112575,1.33380550318185,1
1,33,1,1,1.89552880646163,3.79556656755786,0.415564389157363,1
1,34,1,1,1.89552880646163,3.79556656755786,0.360755966721577,1
1,35,1,1,1.89552880646163,3.79556656755786,0.376957748475198,1
1,36,-1,1,1.71514539105153,1.53419332112575,0.689748513277635,1
1,37,-1,1,1.71514539105153,1.53419332112575,0.863548163394667,1
1,38,1,1,1.89552880646163,3.79556656755786,0.522976043165547,1
1,39,1,1,1.89552880646163,3.79556656755786,0.435341974121075,1
1,40,-1,1,1.71514539105153,1.53419332112575,0.884969252316489,1
1,41,-1,1,1.71514539105153,1.53419332112575,0.879098458627332,1
1,42,1,1,1.89552880646163,3.79556656755786,0.461698193311723,1
1,43,-1,1,1.71514539105153,1.53419332112575,1.79290435925466,1
1,44,-1,1,1.71514539105153,1.53419332112575,1.44097151441233,1
1,45,1,1,1.89552880646163,3.79556656755786,0.739118327753464,1
1,46,1,1,1.89552880646163,3.79556656755786,1.01841645502407,1
1,47,1,1,1.89552880646163,3.79556656755786,0.429530228292492,1
1,48,-1,1,1.71514539105153,1.53419332112575,0.611436654140476,1
1,49,1,1,1.89552880646163,3.79556656755786,0.691020876951822,1
1,50,-1,1,1.71514539105153,1.53419332112575,1.16088612838438,1
1,51,-1,1,1.71514539105153,1.53419332112575,0.472163620008843,1
1,52,-1,1,1.71514539105153,1.53419332112575,0.547843415376479,1
1,53,-1,1,1.71514539105153,1.53419332112575,0.706250330369252,1
1,54,1,1,1.89552880646163,3.79556656755786,0.469603088802342,1
1,55,1,1,1.89552880646163,3.79556656755786,0.526932283957189,1
1,56,1,1,1.89552880646163,3.79556656755786,0.442106575640284,1
1,57,1,1,1.89552880646163,3.79556656755786,0.580482414673459,1
1,58,-1,1,1.71514539105153,1.53419332112575,0.467501019828637,1
1,59,1,1,1.89552880646163,3.79556656755786,0.508148121574988,1
1,60,-1,1,1.71514539105153,1.53419332112575,0.983008210118346,1
1,61,-1,1,1.71514539105153,1.53419332112575,0.707327187985563,1
1,62,1,1,1.89552880646163,3.79556656755786,0.559459486736562,1
1,63,1,1,1.89552880646163,3.79556656755786,0.594664774238022,1
1,64,1,1,1.89552880646163,3.79556656755786,0.534331358540351,1
1,65,-1,1,1.71514539105153,1.53419332112575,1.18740629998317,-1
1,66,-1,-1,1.63476302196147,0.145217605955731,0.832762500244174,1
1,67,-1,1,1.71514539105153,1.53419332112575,0.549829594517647,1
1,68,-1,1,1.71514539105153,1.53419332112575,0.614532594506665,-1
1,69,1,-1,1.80669254981728,1.72502250536066,0.751239785982444,1
1,70,-1,1,1.71514539105153,1.53419332112575,0.417506062068672,1
1,71,-1,1,1.71514539105153,1.53419332112575,0.679330911807487,1
1,72,-1,1,1.71514539105153,1.53419332112575,0.495985504617648,1
1,73,-1,1,1.71514539105153,1.53419332112575,0.655113750094835,1
1,74,-1,1,1.71514539105153,1.53419332112575,0.500515854934671,1
