"variable","true","mean_estimate","mean_bias","mean_rel_bias_pct","coverage_90","n_reps"
"alpha_mean",1.8,1.80013811172721,0.000138111727210344,0.00767287373390797,NA,10
"beta_alpha2",0.024,0.02276602981534,-0.00123397018466,-5.14154243608334,1,10
"beta_alpha3",0.05,0.04840578460975,-0.00159421539025,-3.1884307805,1,10
"beta_nu[1]",1.15,1.1542406385785,0.00424063857850008,0.368751180739137,1,10
"beta_nu[2]",0.7,0.6670264905365,-0.0329735094635,-4.71050135192857,0.9,10
"beta_nu[3]",0.5,0.4722035848995,-0.0277964151005,-5.5592830201,0.8,10
"beta_nu[4]",0.3,0.27612241753255,-0.02387758246745,-7.95919415581666,0.7,10
"sigma_alpha_intercept",0.08,0.08076095572225,0.000760955722249997,0.951194652812495,1,10
"sigma_nu_c",0.5,0.4947013461705,-0.0052986538295,-1.0597307659,0.6,10
"sigma_nu_cr",0.3,0.3024863742835,0.00248637428350001,0.828791427833337,0.9,10
"sigma_nu_r",0.3,0.284367403494,-0.015632596506,-5.210865502,0.9,10
"sv_mean",0.5,0.489787569949958,-0.010212430050042,-2.0424860100084,NA,10
"t0_mean",0.225545351802801,0.22329413188564,-0.00225121991716078,-0.998122949183662,NA,10
"w",0.52,0.519931018292,-6.89817080000266e-05,-0.0132657130769282,0.9,10
