"subj","cell","alpha","nu"
1,"cong/post-corr",2.07875403077707,2.81765918106642
2,"cong/post-corr",1.79984393952042,2.20620928109027
3,"cong/post-corr",2.05855101869009,2.17127241675049
4,"cong/post-corr",1.92600418601352,2.08046162569499
5,"cong/post-corr",1.96902439839445,3.22324859468555
6,"cong/post-corr",1.73838492025709,2.72808687095904
7,"cong/post-corr",1.95045337726307,3.3937328057495
8,"cong/post-corr",1.86071617624354,2.76331103778177
9,"cong/post-corr",1.97290107391529,3.1723358710345
10,"cong/post-corr",2.08316188140287,2.29181048359502
11,"cong/post-corr",1.8446767513308,3.08856237895435
12,"cong/post-corr",1.98631123004603,2.80732321468006
13,"cong/post-corr",1.91291826916319,1.78886702181063
14,"cong/post-corr",1.81659085868475,2.99059163880688
15,"cong/post-corr",2.09514815037231,3.63558954640665
16,"cong/post-corr",2.07689178920402,2.84728794451804
17,"cong/post-corr",1.78583697335561,2.52256484078385
18,"cong/post-corr",2.03361442857323,2.13663859745574
19,"cong/post-corr",1.92542485674765,2.66085525876685
20,"cong/post-corr",2.07117787234283,2.23754229851157
21,"cong/post-corr",1.98440353233882,2.44426922657282
22,"cong/post-corr",1.80757074661135,1.54002052433154
23,"cong/post-corr",1.99716909773859,2.17256868058341
24,"cong/post-corr",1.94266523220631,1.9798586079287
25,"cong/post-corr",1.72227935792321,2.26088386369682
26,"cong/post-corr",2.03500652860069,2.6534458684386
27,"cong/post-corr",1.85784930877629,3.1903338210285
28,"cong/post-corr",1.98713609945172,1.34751882953977
29,"cong/post-corr",1.82857333069217,3.4812322545039
30,"cong/post-corr",2.13720353643956,2.97475895232115
31,"cong/post-corr",1.90129166653214,2.04864611404512
32,"cong/post-corr",1.99190649100098,2.44273932826029
33,"cong/post-corr",1.6719858452749,2.31477453352702
34,"cong/post-corr",1.9028820508875,2.41416134119039
35,"cong/post-corr",1.95182584733503,2.86871457236784
36,"cong/post-corr",1.957535318638,1.72371722261507
37,"cong/post-corr",2.10177201827686,2.36021609835071
38,"cong/post-corr",2.07213417355412,3.628821930467
39,"cong/post-corr",1.8482976894333,3.281339778088
40,"cong/post-corr",1.87038065241375,2.82935498355487
41,"cong/post-corr",1.96259678364811,2.98090693322039
42,"cong/post-corr",1.81695177546666,2.2778457602604
43,"cong/post-corr",1.95597227250655,2.9282564594801
44,"cong/post-corr",2.00509761666031,2.04201408235255
45,"cong/post-corr",2.01548955046965,1.8832869082551
46,"cong/post-corr",1.82863323903641,2.51118418780413
47,"cong/post-corr",1.89459532720734,2.41972258708427
48,"cong/post-corr",1.75721369035023,3.44546570708226
49,"cong/post-corr",1.66282365028176,3.20577547919806
50,"cong/post-corr",1.97733349923047,3.00338478718845
51,"cong/post-corr",2.00623724066336,3.3123408114658
52,"cong/post-corr",1.84920958309713,3.66565815357605
53,"cong/post-corr",2.03826993622302,3.16816899695745
54,"cong/post-corr",2.10770948135409,1.96790474663935
55,"cong/post-corr",2.31268802486072,3.60005934167
56,"cong/post-corr",2.00351282956941,1.7358355817163
57,"cong/post-corr",1.85263626066331,2.3596349821441
58,"cong/post-corr",1.73511290066656,3.18162103295775
59,"cong/post-corr",1.93853403800967,1.8040262601057
60,"cong/post-corr",2.05846613259981,3.5925357451545
61,"cong/post-corr",2.34692020297662,3.2455354003165
62,"cong/post-corr",2.06702864815165,3.2363693713662
63,"cong/post-corr",1.9718802320806,3.70181316792585
64,"cong/post-corr",1.85073352398602,2.78069204771411
65,"cong/post-corr",1.77207069026277,3.3454996052915
66,"cong/post-corr",1.87408291006913,2.00210059570153
67,"cong/post-corr",2.05551482288307,1.95053902362765
68,"cong/post-corr",1.97184066262884,3.04040362176283
69,"cong/post-corr",1.96568602694077,1.98897264006051
70,"cong/post-corr",1.8972784631851,2.72292183188147
71,"cong/post-corr",1.80713343652046,2.9131379864966
72,"cong/post-corr",2.02028150071205,2.50927008547779
73,"cong/post-corr",1.87323680185703,3.60075702329055
74,"cong/post-corr",2.00602091095842,1.93372878724691
75,"cong/post-corr",2.11424388659535,2.6888190982118
76,"cong/post-corr",1.77008041719469,1.58410902845858
77,"cong/post-corr",1.8031079690377,1.39577533722167
78,"cong/post-corr",2.06590348020062,1.91873443585215
79,"cong/post-corr",1.84183120040576,2.48725111815604
80,"cong/post-corr",1.82489481144142,2.92595867854366
81,"cong/post-corr",2.09162767537708,2.65732034529462
82,"cong/post-corr",2.09642656664246,2.6381642099526
83,"cong/post-corr",1.85014225015894,2.20912000908548
84,"cong/post-corr",2.00254432151584,4.0883638056505
85,"cong/post-corr",1.87319061865342,2.9448148517113
86,"cong/post-corr",2.02283653215515,2.76308549552957
87,"cong/post-corr",2.01536524748337,2.598608194156
88,"cong/post-corr",2.33304934278987,2.08451187017505
89,"cong/post-corr",2.01206891126363,2.23197117948875
90,"cong/post-corr",1.84789724794446,2.22620910540577
91,"cong/post-corr",1.96001387947471,2.39477177100086
92,"cong/post-corr",1.69199331554381,2.70852487134633
93,"cong/post-corr",1.83446025893931,2.38787071952572
94,"cong/post-corr",2.11532944192551,2.78885114648824
95,"cong/post-corr",1.874906372637,1.90775916036271
96,"cong/post-corr",1.81559490762466,2.04581597257859
97,"cong/post-corr",1.99229913148561,2.25837538762061
98,"cong/post-corr",1.91810686548007,2.57141603874036
99,"cong/post-corr",1.9267041910056,3.63841377321108
100,"cong/post-corr",1.81106544238404,2.88586758025835
1,"cong/post-err",1.98732506248303,1.31311652190358
2,"cong/post-err",1.72068215700827,0.69756718132093
3,"cong/post-err",1.96801063101896,1.05502478123341
4,"cong/post-err",1.84129355019511,-0.294036259968106
5,"cong/post-err",1.8824216225847,1.29905154245445
6,"cong/post-err",1.66192626406023,1.64334293604096
7,"cong/post-err",1.86466740290125,1.3054484438605
8,"cong/post-err",1.77887707562692,0.71574138670403
9,"cong/post-err",1.88612779190903,0.5765712310655
10,"cong/post-err",1.99153904446004,0.71931068166489
11,"cong/post-err",1.76354310602543,2.13973463475565
12,"cong/post-err",1.89894813475664,1.19630044629994
13,"cong/post-err",1.82878318574736,0.3113352091148
14,"cong/post-err",1.73669250343786,0.951679942123125
15,"cong/post-err",2.00299812637929,2.02951736409335
16,"cong/post-err",1.98554472710149,0.993547583991965
