"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-5062.64796385,-5061.73795,22.6124170813754,22.5014201999995,-5102.05112,-5026.62837,1.00479571441645,570.572983000062,968.709257321385
"beta_nu[1]",1.17053990155,1.1705415,0.0378291221788707,0.0388146162599999,1.10925318,1.23243453,1.00442245653027,640.433825115891,920.947999626626
"beta_nu[2]",0.676189861885,0.67459016,0.0481262850130482,0.0472317664139999,0.595742211,0.7563048105,1.00197407571581,453.293231420407,933.234570262677
"beta_nu[3]",0.41701606606,0.41697482,0.0360383342640299,0.035485326765,0.3567386845,0.4777455815,1.00391013833632,680.193188805974,1060.77061133593
"beta_nu[4]",0.312417296815,0.31257326,0.0393861534355441,0.0390792307079999,0.2480124865,0.3742164715,1.00553355564842,684.965916636211,1013.97224471992
"beta_alpha1",0.60879887285,0.608667995,0.014067876330709,0.013846853895,0.585484233,0.632095356,1.00074808060571,734.055884201143,966.914422365069
"beta_alpha2",0.019201057364405,0.0191236525,0.00616018039318422,0.0063677291937,0.009207500345,0.02948322915,1.00119163993428,3693.95248311907,1530.46799397861
"beta_alpha3",0.0488384505975,0.0489637905,0.00580587091900532,0.0058137549624,0.03936813895,0.058211505,1.00103327041351,2831.22018516831,1726.65676744411
"beta_tau",1.060915274285,1.0612053,0.0450005587311577,0.0448330827000003,0.985299994,1.13489528,1.00320979141293,1037.48601862734,1294.2247082687
"sigma_nu_c",0.412212165755,0.41145383,0.0366621113486566,0.034985371806,0.353198114,0.47628921,1.0039433424424,687.632226551188,855.627793481781
"sigma_nu_r",0.293703761,0.29346781,0.0279349579528516,0.029008766577,0.2505995665,0.341309306,1.00249784229561,741.980936076288,1013.99583742983
"sigma_nu_cr",0.31390450482,0.31381601,0.0326496109981465,0.033085004778,0.260716045,0.3685647915,1.00173388672699,753.570843111875,1314.72598635536
"sigma_alpha_intercept",0.077603758182,0.0774193315,0.00779799877670537,0.00785379551249999,0.0657064972,0.09064024305,1.00376148494544,707.59849260004,1216.66101593863
"sigma_tau_intercept",0.0548736173614,0.050985147,0.0283334261460006,0.0285064498362,0.01468249205,0.107705045,1.00434604952034,898.11082327205,962.700386345785
"z_nu_c[1]",-0.663649191987425,-0.66478498,0.50944179281869,0.49906569552,-1.4978653,0.152154121,1.00036886862522,2015.89406023598,1695.45552500039
"z_nu_c[2]",-1.1772975984528,-1.18706975,0.559031647582725,0.531005443689,-2.09262775,-0.2345734685,1.0007180101608,1576.0299272158,1380.26624051756
"z_nu_c[3]",0.05151853588855,0.065968782,0.466515325610747,0.4546757071038,-0.7284223995,0.8281147835,0.999594732271334,1989.83073676406,1462.22253516529
"z_nu_c[4]",0.4491427733866,0.4516896,0.402227331873401,0.4099248153,-0.215445809,1.07140552,0.999848814720019,2198.56570713866,1557.14842105042
"z_nu_c[5]",0.3309014075041,0.331645015,0.360510435071679,0.3614945913999,-0.2464019795,0.9175837435,1.00220177626167,2037.59961795722,1695.49899897897
"z_nu_c[6]",1.2129289667475,1.2116624,0.392950589017934,0.389259951024,0.556222922,1.868396405,1.00261999285597,1806.55136719954,1520.44155539106
"z_nu_c[7]",0.165562902667938,0.15207187,0.421481234663879,0.421603722519,-0.5096414635,0.853911586,1.00015401638696,1706.57976420874,1425.07470796887
"z_nu_c[8]",1.16601744736072,1.15273955,0.418594878958471,0.414292191663,0.477335711,1.83553007,0.999751263078401,1959.70936752699,1547.27602361455
"z_nu_c[9]",1.493245577355,1.49509725,0.410605660597513,0.41131356672,0.8253861105,2.194289915,1.00185276641894,1412.3779292404,1311.75152354136
"z_nu_c[10]",0.270908426857309,0.26256217,0.439827342669518,0.4359399107679,-0.4426002765,1.01364536,1.00043806478101,1934.4409050255,1407.34828165434
"z_nu_c[11]",0.239089675723225,0.243561765,0.396567252096531,0.3986406888786,-0.4090705005,0.873325141,1.00293540161266,1954.81395653762,1660.46611042135
"z_nu_c[12]",-0.2598453699252,-0.25423436,0.520828175123904,0.531145645758,-1.09893156,0.5801225055,1.00219235070212,1865.72090084523,1564.20193201212
"z_nu_c[13]",1.017610793049,1.0187431,0.405278247178449,0.398680020774,0.3202456235,1.66707073,1.00054010444887,1750.4973726424,1547.53108173864
"z_nu_c[14]",-0.564068425250565,-0.564810645,0.406846974425262,0.41819527701,-1.24227263,0.0975564194,1.00166227361275,1505.55986823129,1132.68410010706
"z_nu_c[15]",-0.75779491359274,-0.73908782,0.509848390720716,0.521531866905,-1.59861926,0.0682870929499998,1.00351528436021,1848.86896145305,1768.84174767096
"z_nu_c[16]",0.1660097097472,0.170542145,0.430103099429456,0.443414503161,-0.553796639,0.864333677,1.00024471724214,1877.66293691596,1487.3356351772
"z_nu_c[17]",-1.522251644885,-1.51803445,0.419611540442349,0.41921641776,-2.22720057,-0.8366435365,1.00125679868833,1419.85405884919,1556.53215635346
"z_nu_c[18]",-0.47327342781925,-0.476681295,0.456562003303746,0.444736218822,-1.228679305,0.2834036545,1.00009172931679,2029.03086068063,1611.56307596854
"z_nu_c[19]",-0.218029656069405,-0.21563846,0.427686443578045,0.4233168601473,-0.9388180025,0.501598574,1.00250136492409,2033.46701203256,1442.17422285396
"z_nu_c[20]",0.379660091454005,0.382405265,0.465230197342115,0.478072754103,-0.400549326,1.126378315,1.00037133119259,1944.00575768339,1603.85262308485
"z_nu_c[21]",-0.44351873479315,-0.4565968,0.475434024400699,0.4648632996,-1.198409145,0.3638138765,1.00163906030342,1597.31737738904,1630.9203371152
"z_nu_c[22]",-0.9494903082295,-0.946808875,0.482416921181252,0.479343653649,-1.711724925,-0.150671333,1.00130572856943,1920.90093168053,1371.10047551307
"z_nu_c[23]",1.68426313977,1.66854525,0.420556172389046,0.4207959798,1.00207763,2.389760175,1.00013145558856,1171.94019940162,1459.82308527392
"z_nu_c[24]",-0.231443072175988,-0.22685196,0.360003225776315,0.3676124135376,-0.822663874,0.3641734145,0.999742120308402,1943.62686717266,1408.46218476961
"z_nu_c[25]",0.9968030594805,0.99283628,0.377609611326374,0.370979003766,0.3746839055,1.62883777,0.999290138609174,1802.16386401715,1468.79489149497
"z_nu_c[26]",-3.22366946955,-3.20949525,0.452282604202977,0.45859212399,-3.9798613,-2.527771455,0.999996387729269,1548.30253141208,1584.78235307582
