"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-1025.778016455,-1025.21845,21.4197204923126,21.0074041799999,-1061.27696,-992.0799855,1.00683454187784,394.995754900896,808.853706752315
"beta_nu[1]",1.9842196313,1.9819968,0.0778931113181528,0.07699193691,1.863342775,2.116957685,0.999553253609923,681.274990892627,946.474766483974
"beta_nu[2]",0.73766647971,0.735067445,0.078989724783724,0.0767793987869999,0.6095602975,0.874641815,1.00412419300813,355.907643612349,652.114129181662
"beta_nu[3]",0.56416214807,0.561984795,0.0531953177398079,0.051164844759,0.4785306355,0.6566582285,1.00516761844105,770.340977324642,1026.89055765594
"beta_nu[4]",0.377880837155,0.378750325,0.0532212119337551,0.052807091127,0.289010204,0.4631053425,1.00182648555489,732.372982118265,716.874219514574
"beta_alpha1",0.616924717265,0.61607073,0.0211812315268024,0.021196494984,0.5833609855,0.652657977,1.00242596519169,509.520753796789,990.584271045796
"beta_alpha2",0.027707364718255,0.0275620095,0.0104571897589449,0.010470877326,0.01031815055,0.04504785045,0.999761804816537,2671.72637338613,1381.01186473853
"beta_alpha3",0.048600061724,0.0487560215,0.00792250494576717,0.0076998000744,0.03545142095,0.06192955245,1.00257329081398,1995.73668401393,1695.62903776335
"beta_tau",1.80373948855,1.8032477,0.103348435824111,0.10334930319,1.63443424,1.97216199,1.00006296182956,970.16457587274,916.475120175084
"sigma_nu_c",0.5982127806,0.59605273,0.0589354261437676,0.0573851152979999,0.505186044,0.69942657,1.00222847034977,442.741247986264,671.951360385362
"sigma_nu_r",0.34129085324,0.33907387,0.037411794332016,0.036535207716,0.2841685385,0.406075658,1.00165101573315,756.713545984894,1202.67816930773
"sigma_nu_cr",0.2960140607,0.296450605,0.05182728437145,0.052298611218,0.2130669775,0.3827361665,1.00264230473982,377.283823055734,809.376367064128
"sigma_alpha_intercept",0.125130870127,0.12465642,0.0117599221089364,0.011915493114,0.1071623335,0.1451280985,1.00859405403059,551.522281318309,930.6447876572
"sigma_tau_intercept",0.09033047648885,0.086474655,0.0467404592208248,0.0485558786979,0.0207633507,0.1720932425,1.00000549375235,546.626190210929,827.160371566946
"z_nu_c[1]",-0.5291905023458,-0.52389611,0.467415545802749,0.451204654362,-1.28062812,0.2357447655,1.00023238161442,1466.98930429247,1190.53835459533
"z_nu_c[2]",-0.367410542529955,-0.378659535,0.514775074532971,0.5107498815363,-1.20272697,0.5102086765,1.00270915050081,1540.79657987964,1348.72658352071
"z_nu_c[3]",0.19842243683178,0.188217865,0.452754015223417,0.442669081533,-0.5349698175,0.9395690145,1.00249158752152,1832.03977908104,1745.10228833528
"z_nu_c[4]",1.80257629857,1.78423805,0.401144705028263,0.39646199187,1.1464109,2.476253195,1.00084339135499,1384.52835306387,1344.76686052734
"z_nu_c[5]",1.375318499557,1.376679,0.388205893444876,0.38005368702,0.737626431,2.0036676,1.00028404989657,1256.74927163867,1574.70367689937
"z_nu_c[6]",0.48512452572165,0.481476415,0.383176480837706,0.37735112961,-0.155499176,1.106993095,1.00126035303433,1409.3340784322,1329.3361021764
"z_nu_c[7]",-0.6739107525549,-0.661886415,0.417187853319075,0.402777119157,-1.389508685,0.00476637620499998,1.00097403617554,1485.74516986179,1527.1603998472
"z_nu_c[8]",-0.940159307547155,-0.929322435,0.488299751433181,0.47526010623,-1.74625642,-0.152138965,1.00185218399494,1324.0185129397,1125.94019732545
"z_nu_c[9]",-1.80295508973,-1.81182305,0.493043226746652,0.49143764439,-2.58271338,-0.9989837275,0.999892469122885,1637.07066046653,1429.25405797047
"z_nu_c[10]",-0.48591953094185,-0.48635001,0.446191004483548,0.449046411303,-1.217340815,0.2489471275,1.00027618230367,1475.02887564822,1610.93772365905
"z_nu_c[11]",-2.19674726435,-2.19963515,0.530475195322918,0.51360540546,-3.07722677,-1.318272575,0.999979218659653,1275.55047675058,1213.45646510105
"z_nu_c[12]",-0.192108391106925,-0.206670895,0.401721196885109,0.3976701574209,-0.8239441765,0.4856103165,1.00225567662239,1545.75495354854,1549.1973916581
"z_nu_c[13]",0.69502737568095,0.685751615,0.47476408060979,0.443464229565,-0.07008418705,1.473425695,1.00131932597139,1405.91240399735,1493.9134712744
"z_nu_c[14]",0.52353428016474,0.512793095,0.419123480526094,0.416614573368,-0.1524070165,1.23242051,1.00031004482154,1529.71936710307,1346.48925233332
"z_nu_c[15]",-0.489871200317,-0.47856089,0.44968811020166,0.449367957591,-1.224578875,0.2534098315,0.99934011439574,1607.00646142938,1495.58232531399
"z_nu_c[16]",-0.881899719051925,-0.885753365,0.528662068682701,0.511783416081,-1.755461105,-0.0105971748650001,1.00006789598484,1625.55989256138,1322.42972879473
"z_nu_c[17]",0.298980404484562,0.29935082,0.416186520559003,0.4063899751758,-0.382316657,0.9852586065,0.999792154767669,1474.02857711579,1300.86419011686
"z_nu_c[18]",-0.00281374722921499,-0.014780276,0.439876277519803,0.4196567707164,-0.725631203,0.728141196,1.00077045676382,1870.18941108675,1683.88281496809
"z_nu_c[19]",0.64964101744224,0.661466795,0.451733267890811,0.447803295681,-0.08313922625,1.40951403,0.999893674152188,1390.37601950303,1536.82360417879
"z_nu_c[20]",1.80290952917,1.7937555,0.402420115749022,0.39792376134,1.14089512,2.469099655,1.0013072989621,1310.97823430201,1581.17136373653
"z_nu_c[21]",1.478192043185,1.4808751,0.380627543838086,0.37745698725,0.849135837,2.107745525,1.00048779780262,1393.46822621675,1254.58870274586
"z_nu_c[22]",-0.48255901498676,-0.472108195,0.460550204614377,0.451893092259,-1.237328915,0.2422929145,1.00062624704407,1560.6059177309,1698.88557739673
"z_nu_c[23]",0.684385802514665,0.685491425,0.34755157168574,0.342329626842,0.1165129175,1.248996205,1.00038506194324,954.042475309949,1355.15825456022
"z_nu_c[24]",-1.1066360837404,-1.10721795,0.474164623307255,0.462774382917,-1.90005711,-0.325906535,1.00150902707738,1608.24738213901,1542.94403857748
"z_nu_c[25]",1.28808436812485,1.27215185,0.402461273135787,0.40201544082,0.631506059,1.959680045,1.00527720571072,1152.02039821937,1618.02814556516
"z_nu_c[26]",0.5338364142305,0.532526445,0.395517725690832,0.389510784705,-0.1279112145,1.17030833,1.00123737350461,1430.80752451536,1728.19978979625
"z_nu_c[27]",-0.289422345921935,-0.284516265,0.496458943690626,0.5110228474701,-1.089636525,0.5091081795,0.999870372240407,1454.78741291776,1714.86027101603
"z_nu_c[28]",-0.032011575741285,-0.028709381,0.450352997296609,0.4576331916534,-0.7529303935,0.723039934,1.00024370151833,1109.92343482397,1178.76554623342
"z_nu_c[29]",0.594797519572644,0.59268199,0.400552318526036,0.386504234991,-0.0772385157,1.270002455,1.00039471527509,1226.41815777163,928.398809100508
"z_nu_c[30]",-0.10309069734063,-0.106002145,0.403484086639418,0.409543179234,-0.7383429025,0.551779479,1.00214211167613,1463.14895656487,1358.96281134542
"z_nu_c[31]",1.1461034474843,1.1419051,0.370549394957822,0.36960076398,0.538544668,1.7789693,0.999305796867237,1383.58057941053,1250.5703468807
"z_nu_c[32]",0.7263121300169,0.73085063,0.38329766472237,0.373363958604,0.0996967541,1.37011205,1.00069192700802,1109.53475463253,1507.41116154639
"z_nu_c[33]",-0.4275809875147,-0.428658415,0.479309805930372,0.475923206493,-1.19460635,0.364567311,0.999985227709046,1577.24135602605,1556.01042105546
"z_nu_c[34]",0.17850210478119,0.174102205,0.385151753047084,0.3823948428888,-0.4594886225,0.8134981195,1.00215607000926,1495.82795284909,1294.7889168198
"z_nu_c[35]",0.732322023808825,0.718824045,0.414160436590102,0.407125918542,0.08141961715,1.43925577,1.00036258259425,1084.99205336228,1266.68411766473
"z_nu_c[36]",-0.164844242865565,-0.14373508,0.511728739544312,0.499295809866,-1.02229725,0.6682681095,1.00142829962598,1575.69233191833,1538.0004511922
"z_nu_c[37]",1.0441989641092,1.0266006,0.39868497768816,0.40422918501,0.407595235,1.718708405,0.999764279176173,1398.04227732789,1351.16114408484
"z_nu_c[38]",0.84837045663843,0.826632085,0.447732974092068,0.437008707471,0.1176825705,1.62165262,1.00132225555013,1343.98614341175,1494.81791449956
"z_nu_c[39]",-0.202948232019845,-0.2054208,0.500552490023035,0.491702770335,-1.011973605,0.6112413945,1.00132184991886,1496.95983684153,1560.28213348447
"z_nu_c[40]",-0.171779215871615,-0.15782404,0.454529996296162,0.44258226789,-0.9613743675,0.591627764,0.999886005797044,1674.7486174875,1499.90498816744
"z_nu_c[41]",0.7668088207109,0.751851685,0.423509809899161,0.405598640391,0.08670123775,1.485326885,1.00087719966212,1615.26490777087,1455.02428854449
"z_nu_c[42]",-0.87979250995955,-0.873163425,0.443013668137965,0.436180957065,-1.620624385,-0.1639419975,1.00097055407116,1401.27003168996,1439.19338992043
