"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-11568.543629,-11566.3105,200.674191335778,215.8287537,-11899.42845,-11258.52825,1.0906418724937,16.8272578193811,39.70417573233
"beta_nu[1]",1.13869046565,1.13861925,0.014127404475611,0.01387076082,1.115489225,1.161415645,1.00141705088526,1116.99882356215,1284.19796503766
"beta_nu[2]",0.686416057205,0.687583745,0.0539525856789664,0.052609445721,0.5937768695,0.773755015,1.00549396822531,289.34139394036,530.492772687234
"beta_nu[3]",0.477760539575,0.4768038,0.0279515373266835,0.028203662886,0.4330371705,0.5255659045,0.999996657277815,757.512701780472,997.473572126493
"beta_nu[4]",0.27407186914,0.27466898,0.0339311650293261,0.034712128626,0.2190361235,0.3288594305,1.00032770903215,688.839037725337,890.89679517398
"beta_alpha[1]",1.73538444995,1.73558135,0.0207239184135111,0.0209021395799998,1.700279685,1.769191665,1.00141513484743,609.07593693141,1002.23962057988
"beta_alpha[2]",0.054915794341,0.054734887,0.00763170964955151,0.007508042073,0.04211899235,0.0673837261,0.99952956852894,1316.88877816161,1585.29163188954
"beta_alpha[3]",0.0970710788535,0.097148488,0.00773374381248142,0.0076421669646,0.0841535154,0.1104548635,0.99958778086183,992.159040100768,1443.35602017893
"beta_tau",0.20984636036,0.20973001,0.00364066223793537,0.003537009168,0.2039140565,0.215798735,1.00253058397576,737.709899062507,976.433918139822
"sigma_nu",0.1095139871075,0.11165689,0.037679522332997,0.037590166572,0.0467419775,0.16794874,1.05041500763633,23.41975506178,50.9264193183969
"sigma_alpha",0.099493180183,0.0992130505,0.0085608944523103,0.0086321923884,0.08611416945,0.1140361295,1.01211687260196,372.620598657506,756.227114408155
"sigma_tau",0.0072497846239,0.00727216255,0.00234666995892879,0.00209530609596,0.003087525255,0.0110546154,1.22019194876048,7.34293671486179,15.5181162531935
"sigma_nu_c",0.5190512644,0.516629705,0.0384491993938665,0.038513566917,0.458892009,0.582737689,1.00119506276386,686.84639928324,1008.50530862494
"sigma_nu_r",0.24450268031,0.243985695,0.0222604299232609,0.020820314886,0.208807911,0.2836630835,1.00362374876516,437.71716800268,833.902344142743
"sigma_nu_cr",0.30466384994,0.30281484,0.0269526837755868,0.025957271844,0.2630053515,0.3501638865,1.00179382800976,857.034622541677,1127.41673226261
"sigma_alpha_intercept",0.179554675785,0.17868626,0.0149838855987604,0.014710468395,0.1563699395,0.2052829055,1.00058441395697,722.410603660621,917.915105205357
"sigma_tau_intercept",0.027736887111,0.0276648465,0.00325446274172651,0.0032687601261,0.02265703635,0.03329094845,1.00613588172632,296.311828085402,878.637733139118
"z_nu_c[1]",0.40132359359475,0.3971836,0.256354520164964,0.253360683744,-0.0297821574,0.8184761735,1.00068022358518,1005.31327707824,1194.61389515762
"z_nu_c[2]",-1.449706291285,-1.44907725,0.239820966428533,0.23361943479,-1.84504222,-1.06227244,1.00566745257213,818.360432543158,1101.16415340071
"z_nu_c[3]",-1.56624704368,-1.56957805,0.283212940479995,0.28078509207,-2.02781779,-1.105370795,1.00237082068715,997.297634237027,1226.16799235058
"z_nu_c[4]",-0.767847882499,-0.779108545,0.242346216807375,0.240813136011,-1.14169373,-0.3622374825,1.00256520652069,830.312814634509,1240.71598386412
"z_nu_c[5]",-0.53382207862085,-0.53105253,0.217351544202047,0.209613168177,-0.898081582,-0.188896535,1.00517188463144,798.934034057545,1281.4360534537
"z_nu_c[6]",-0.47894133083637,-0.48060068,0.239113248442833,0.243477219951,-0.87866318,-0.0931843363500001,1.0001123187609,856.774576373149,1452.6439895364
"z_nu_c[7]",0.72253673390835,0.71676458,0.252426868701395,0.267581093535,0.319134143,1.136867865,1.00152614329614,863.312971210594,1266.99530339585
"z_nu_c[8]",-1.159426449235,-1.15703055,0.246911216761812,0.243386959263,-1.566597775,-0.761112915,1.00070171606958,990.42050851133,1020.44260090695
"z_nu_c[9]",0.273607805567585,0.27114312,0.260559833338904,0.2576351818887,-0.1460941215,0.70678767,1.00023340983306,867.369983559547,1043.50931290107
"z_nu_c[10]",0.99728342259095,0.99745269,0.35320484218294,0.345094186584,0.3863643115,1.5863466,1.00040908957422,1011.19264442535,1060.00671228616
"z_nu_c[11]",-1.12999651015,-1.1402067,0.282065687306376,0.277957351329,-1.58833293,-0.678781362,1.00244531283801,779.075246540869,1000.84656630966
"z_nu_c[12]",1.776613880015,1.7700178,0.292700444780207,0.2946059634,1.312346145,2.266337875,0.999831807889186,1070.46831425188,1106.93920413368
"z_nu_c[13]",-1.85603645015,-1.85311555,0.248588223909912,0.23310022827,-2.27474682,-1.45027679,1.00161397476745,610.655908247013,1086.32117859531
"z_nu_c[14]",-0.33947441077165,-0.332017825,0.24107004454645,0.237488509293,-0.7326289605,0.0350738719,1.00201898522479,851.094667717742,1176.04114055622
"z_nu_c[15]",1.11757399411,1.11033485,0.271254918259988,0.27759275775,0.6827559735,1.57188326,1.00050669909533,879.47000113063,1337.61395813216
"z_nu_c[16]",1.55973828042,1.56356335,0.286221253381805,0.27444534621,1.083046635,2.03623804,0.999585006299569,1091.22338220061,1498.15781964028
"z_nu_c[17]",0.296773606633333,0.292558245,0.22322727292292,0.21880536972,-0.06459713415,0.6676391455,1.00124544342849,1008.53295875935,1135.31301799254
"z_nu_c[18]",0.46455547190806,0.455722315,0.21149594711784,0.201417207117,0.1344985295,0.8336693305,1.00055099941586,842.165389130292,1339.21351587308
"z_nu_c[19]",0.5189171797315,0.518927905,0.220648156197547,0.219890277096,0.1584028115,0.8820612465,1.00101235168737,883.783219928446,996.700086259867
"z_nu_c[20]",0.973544053265,0.95850035,0.244097876683837,0.234009862674,0.593999231,1.389527835,1.00567503613567,1032.85486038576,1522.34073574636
"z_nu_c[21]",0.299277821329115,0.294123605,0.218661071072347,0.208652591637,-0.04055806335,0.6645918215,1.00277920964856,827.85591220384,1117.52106585371
"z_nu_c[22]",-0.14935687107198,-0.16491601,0.269504610449689,0.24955735335888,-0.5771780575,0.326998309,1.00125552727448,1075.92293508327,1198.78931006297
"z_nu_c[23]",1.79602224481,1.79284365,0.294781384380213,0.29121310743,1.31105631,2.276538055,1.00041835315576,1093.71861044572,1262.875601864
"z_nu_c[24]",0.42256410117335,0.423701175,0.242370851954239,0.248074451205,0.0267866675,0.820547437,1.00493647831277,1026.26604733678,1374.52217170674
"z_nu_c[25]",-0.63844776710265,-0.6352741,0.217322718641886,0.223860917112,-1.00684206,-0.2852827585,1.00082589139568,889.3257930316,1132.83209828429
"z_nu_c[26]",1.070998312825,1.05850615,0.249847183799988,0.258568753611,0.6916319155,1.49222159,1.00040669464522,951.683140042421,1378.39251502508
"z_nu_c[27]",-0.219482943173895,-0.22685211,0.244404106557214,0.2434381341672,-0.6191813245,0.2028275745,1.00320672851175,944.745311173717,1464.13521245786
"z_nu_c[28]",-1.032310511165,-1.0299338,0.251219105183483,0.246109353861,-1.44766868,-0.6179479065,1.00073535912792,1001.10788531537,1424.04520497481
"z_nu_c[29]",-0.158641423709968,-0.1573209,0.351593519482273,0.3627848210847,-0.736157539,0.3956817195,1.00267126001553,1270.19565438337,1519.53224538833
"z_nu_c[30]",-0.401846059685665,-0.400655715,0.218975979904384,0.210842658705,-0.771392867,-0.03966623745,1.00257810201022,876.874966844458,1145.67356101696
"z_nu_c[31]",-0.303700974452775,-0.330470685,0.277190599379842,0.282975818895,-0.7252783235,0.170556932,1.00180832034134,964.697495613652,1516.20490241792
"z_nu_c[32]",-0.50567421942475,-0.50317902,0.242688305943646,0.240625587111,-0.8955375505,-0.1019425695,1.00092920814756,897.810989017448,803.519385521958
"z_nu_c[33]",-1.507415582325,-1.4984787,0.311283197782699,0.29594593728,-2.04904363,-1.02979031,1.00133003335192,805.39222945723,1319.98397768005
"z_nu_c[34]",-1.571790025285,-1.5527291,0.269677878048751,0.26296750179,-2.04034479,-1.14887989,1.00072648455449,992.562506380919,1201.47943589035
"z_nu_c[35]",-0.495259306942225,-0.487622875,0.208467895913225,0.211883191863,-0.837141681,-0.1612158555,1.00125195187376,842.850967011436,1266.05881459593
"z_nu_c[36]",-1.29384641723,-1.27793435,0.311782539259323,0.29233580628,-1.84043761,-0.812510292,1.00118290737502,781.065322729242,712.62277469914
"z_nu_c[37]",-0.674914726969,-0.67836756,0.2027705268985,0.205879625553,-1.00076323,-0.346232135,1.00656314994093,690.022287371878,1037.02600158659
"z_nu_c[38]",0.89302951426,0.886964705,0.239620127109942,0.24617713092,0.5029866005,1.2813974,1.00197508370336,992.238221849929,1193.31014259292
"z_nu_c[39]",1.223851130315,1.22367355,0.282598545286277,0.27501214419,0.7596771535,1.690767275,1.00161606585601,920.468991554386,1234.43569565339
"z_nu_c[40]",-0.409772774284215,-0.4146519,0.233459742470261,0.229049831787,-0.787483101,-0.01549603455,0.999661696063148,848.930518296468,1165.08045074924
"z_nu_c[41]",-1.084404736595,-1.0741636,0.272148659067383,0.270028673397,-1.54920786,-0.6568768635,1.00167261991729,1032.71965759561,1344.23283459551
"z_nu_c[42]",0.36060839235102,0.34920538,0.242234782922192,0.238767325923,-0.0177443904,0.7839632365,1.00154183218461,876.947552297704,1150.23309721741
"z_nu_c[43]",0.47489883899368,0.46895716,0.240778683487334,0.227308955454,0.09433099665,0.889347316,1.0028264871306,811.338581378561,973.037710228142
