"variable","true","mean_estimate","mean_bias","mean_rel_bias_pct","coverage_90","n_reps"
"alpha_mean",1.8,1.81759541320431,0.0175954132043061,0.977522955794783,NA,10
"beta_alpha2",0.024,0.0235074681363686,-0.000492531863631401,-2.05221609846417,0.9,10
"beta_alpha3",0.05,0.0521957825304,0.0021957825304,4.3915650608,1,10
"beta_nu[1]",1.1,1.10778627453,0.00778627452999994,0.707843139090903,1,10
"beta_nu[2]",0.7,0.6893861757065,-0.0106138242935,-1.51626061335714,1,10
"beta_nu[3]",0.45,0.4421390193805,-0.0078609806195,-1.74688458211111,0.9,10
"beta_nu[4]",0.25,0.23578887716565,-0.01421112283435,-5.68444913374,0.8,10
"beta_tau",0.3,0.299024537174538,-0.000975462825461493,-0.325154275153831,0.9,10
"sigma_alpha_intercept",0.08,0.07475353822125,-0.00524646177875,-6.5580772234375,0.9,10
"sigma_nu_c",0.5,0.505100588418,0.005100588418,1.0201176836,0.8,10
"sigma_nu_cr",0.3,0.3104528744535,0.0104528744535,3.4842914845,0.8,10
"sigma_nu_r",0.3,0.294594338321,-0.005405661679,-1.80188722633333,0.9,10
"sigma_tau_intercept",0.05,0.0548593981668824,0.00485939816688237,9.71879633376474,1,10
"sv_mean",0.5,0.468270582700383,-0.031729417299617,-6.3458834599234,NA,10
"t0_mean",0.057443135615094,0.0573715475432127,-7.15880718812775e-05,-0.124624241199094,NA,10
"w",0.52,0.5133725487725,-0.00662745122750001,-1.27450985144231,0.5,10
