"param","mean","sd","lo95","hi95","rhat","n_eff"
"mu_nu",3.14230141889287,0.0469373213427849,3.04952844163609,3.2348952335499,1.00005466837669,4458.12313223063
"b_nu_condition",2.08561814303905,0.0616055441849243,1.96564711719962,2.20685092774159,1.00145928123652,4617.62528820564
"b_nu_resp_type",0.128088906937855,0.0469193767960402,0.0346215073465853,0.221492529299117,0.999865859065938,4354.16435999338
"b_nu_interaction",0.406091509171304,0.0468432504518937,0.312653625408299,0.496762889157748,0.9998054395523,5027.6831404062
"mu_alpha",0.691498953944178,0.00438653933020324,0.683006726503946,0.700122035302116,1.00002296972711,8430.11131454899
"b_alpha_resp_type",0.0242209833734902,0.00416470149662277,0.0160957501308487,0.0323481016146015,0.999798020766952,8694.2275775626
"b_alpha_condition",0.0571778366538364,0.00412346663025149,0.0491057114171267,0.0652175521468817,0.999762577991249,7482.02628448407
"mu_tau",0.216002781625513,0.00150640392547222,0.21305477024596,0.218928756229644,0.999801266687553,8336.17057350482
"sigma_nu",1.0256699133314,0.0449411390252937,0.939659175015683,1.11646097061194,1.00199295068819,2345.36345389812
"sigma_alpha",0.0716048183913222,0.00444441989375918,0.0630435805054578,0.0803391371834046,1.00121888946852,2421.05299139117
"sigma_tau",0.0355218504261397,0.00128664667269457,0.0330665607168409,0.038069891353895,0.99990548242996,8010.81897535624
"sigma_nu_cond",0.570700413656622,0.0706858452510661,0.429883704889645,0.708197261065857,1.00257371606957,1914.79897435407
"sigma_nu_resp",0.0661930182124683,0.0502100032014668,0.00282359236944985,0.186896376165838,1.00404859463313,1726.71624565993
"sigma_nu_cr",0.0559110024726356,0.0414567425627861,0.00270177942191638,0.154245813617639,1.0012764314107,2646.00995768512
"sigma_alpha_resp",0.00488532300572333,0.00369890494285772,0.000186439444975981,0.0136499443459276,1.00084139553344,2821.75363190174
