"param","mean_of_means","between_run_sd","avg_se_mean","instability_ratio","max_rhat","min_n_eff"
"sigma_alpha_resp",0.00482115578869772,0.000245639141783665,0.000124629961388265,1.97094774841834,1.00283550203376,665.425263148237
"b_alpha_resp_type",0.0241725230369169,0.000284954389275089,0.000147096469415026,1.93719394087633,1.00517380772873,718.366970914512
"b_nu_interaction",0.405744117707826,0.0021396064009453,0.00128396613500238,1.66640407610232,1.00534314510163,1155.41790748354
"b_nu_resp_type",0.128588383081159,0.00218339146693175,0.00136983353487955,1.59391007106841,1.00284036757586,1250.58360350851
"mu_nu",3.14185013666557,0.00216424617403312,0.00145229293100877,1.49022702501886,1.00377855307822,794.200179485225
"sigma_nu_resp",0.0673255396494721,0.00214790472553421,0.00174076230885297,1.2338874265663,1.00435525459044,783.565450595508
"b_nu_condition",2.08660407980603,0.00209486302283917,0.00195614856502325,1.07091202595559,1.01083048573435,808.348450119208
"sigma_tau",0.0354754641906026,4.38055002652711e-05,4.31356195695172e-05,1.01552964122086,1.0068029821974,697.194535812104
"mu_alpha",0.691537193483015,0.000175479828821431,0.000198075394999213,0.885924416922802,1.0159982787657,393.098218084671
"b_alpha_condition",0.0571573244514012,0.0001280999610522,0.000151489315864333,0.845603931348663,1.00525800325329,617.459669290816
"sigma_alpha",0.0717084777816914,0.000182975265851114,0.000240837587900191,0.759745467667378,1.01689540545068,307.90939278862
"sigma_nu_cond",0.573889389717216,0.00215612301776064,0.00287491066941395,0.749979135247415,1.00818380567637,531.461714925799
"mu_tau",0.215986922425751,3.09107876832141e-05,4.22619920333698e-05,0.731408677063947,1.00340262449523,1081.79305374366
"sigma_nu",1.02447375337423,0.00119984437204752,0.00171838135346579,0.698241033416453,1.00659871669725,650.536781029683
"sigma_nu_cr",0.0541513882398809,0.000276424458748057,0.00122227395278399,0.226155894199039,1.00361303686657,1011.18372011352
