"param","mean","sd","lo95","hi95","rhat","n_eff"
"mu_nu",3.13826345922592,0.0466174871280241,3.04617450960487,3.2276455109334,1.00131762755706,4029.5768565516
"b_nu_condition",2.14601089934445,0.0631758549418256,2.02376820640746,2.26958497106139,1.00106443382618,4243.34216869353
"b_nu_resp_type",0.100117052850595,0.0469487238872701,0.00569118644207815,0.191130148275422,1.00124989883861,4851.47877673407
"b_nu_interaction",0.312282082052595,0.045762541462683,0.222359060773475,0.404016929212892,1.00057669956218,4703.27139496692
"mu_alpha",0.702883775036676,0.00541656890243738,0.692317815439732,0.713656132231352,1.00310481954325,1302.71047791556
"b_alpha_resp_type",0.00513035643148284,0.00334265432016249,-0.001348397853192,0.0116995836417007,1.01274890605895,531.02877285914
"b_alpha_condition",0.0540989158291661,0.00317311574151014,0.0478280441565181,0.060262074057955,1.00410584929447,787.661481462634
"mu_tau",0.211172390352376,0.00205073724409498,0.207178333797593,0.215185705620817,1.00298957157567,2729.09545217623
"sigma_nu",0.999252282616615,0.0429418966619351,0.918460677681272,1.08511785984238,1.00308625698387,1842.26584253751
"sigma_alpha",0.0277449066722443,0.00640106346813893,0.015300782975909,0.0399872734024903,1.0494399068368,106.250532887486
"sigma_tau",0.0208315016672075,0.00115805050402818,0.018641862833335,0.0231780090347454,1.00589859221359,1588.0984297394
"sigma_nu_cond",0.579445496348357,0.0666960925129764,0.449628461052775,0.713529691575544,1.00335184571302,2478.00061242199
"sigma_nu_resp",0.0645549775011759,0.0482490703280919,0.00267037585276093,0.178625536897924,1.00047225524971,3567.18318714462
"sigma_nu_cr",0.0528015526732914,0.039585860662125,0.00207479180092856,0.147848107548039,1.00029746890151,4903.87631632974
"sigma_alpha_intercept",0.0582700630060909,0.00408323624920254,0.0505648525278653,0.0664825091406307,1.00264136799553,1872.57335835909
"sigma_tau_intercept",0.0257874092026374,0.00165261575613932,0.0227696411049702,0.0291280604284976,1.00162832694828,3158.21371920727
