"param","mean","sd","lo95","hi95","rhat","n_eff"
"mu_nu",3.18474491740189,0.056887855349131,3.07602202816892,3.29827776545514,0.998735666458106,368.86474965816
"b_nu_condition",2.11578193231389,0.0579280057697316,1.9991904432078,2.22837467600605,0.998011568980715,330.257348891282
"b_nu_resp_type",0.0575289100273268,0.0397741932383038,-0.0182422954788114,0.130912188001262,1.00458103288461,374.76233885087
"b_nu_interaction",0.334450744043885,0.0356496478826888,0.270406748439266,0.409974693981506,1.02406192650859,141.263741550897
"mu_alpha",0.703787049140049,0.00537176663952947,0.693887764830715,0.713789438582617,1.00204155090174,207.15901413331
"b_alpha_resp_type",0.00450620377764593,0.00363750581963561,-0.00291936686324727,0.011468428727073,1.015564363906,138.475178071839
"b_alpha_condition",0.0536239330937978,0.00335623072981064,0.0471922909551993,0.0605071140972048,1.01055734473977,90.7679244263648
"mu_tau",0.211040648651558,0.00209863599922452,0.206882477251958,0.215316257338718,1.00002806279358,336.486976999365
"sigma_nu",0.54787372368408,0.0895358968334915,0.351063926969422,0.719581470385342,1.21421728703956,8.56458515776369
"sigma_alpha",0.0308681256974886,0.00487473380015845,0.0221758053259475,0.0413925662869531,1.09910508390401,15.9197009687611
"sigma_tau",0.020336390301269,0.0011365327455272,0.0180992334435017,0.0224293238136022,1.00226104489224,151.285728990086
"sigma_nu_cond",0.715503838523653,0.052179751119399,0.613546782930736,0.817946874226113,1.04928129573434,36.5401117379708
"sigma_nu_resp",0.175517424532276,0.081319300246767,0.0174938675016242,0.32949795699508,1.03894237928969,17.2935549937804
"sigma_nu_cr",0.150587405128475,0.0755050137118614,0.0127959475508425,0.282267453320221,1.08607154954658,16.5115539138091
"sigma_alpha_resp",0.009036131306725,0.00536354702528013,0.000303088385472494,0.0199399662182973,1.02979310229875,36.6938638333116
"sigma_nu_intercept",0.700624701879531,0.0524404855851236,0.599581075882565,0.808191967788472,1.0437713021725,70.0716511922444
"sigma_alpha_intercept",0.0560068850103387,0.00374325766001807,0.0489946194709101,0.0634962740324119,0.99843365161994,256.741861836218
"sigma_tau_intercept",0.0264588555990068,0.00156245809706424,0.0237926844361743,0.0298628900625542,1.01357391039339,197.660971792979
"sigma_alpha_cond",0.00527228425339849,0.00355671071885327,0.000411032689617333,0.0131541471432583,1.07000576039704,52.3989305051346
